FDID,Fire Dept Name,HQ Addr1,HQ Addr2,HQ City,County,HQ State,HQ Zip,Mail Addr1,Mail Addr2,Mail PO Box,Mail City,Mail State,Mail Zip,Website,Number Of Stations,Dept Type,Organization Type,Active Firefighters - Career,Active Firefighters - Volunteer,Active Firefighters - Paid per Call,Non-Firefighting - Civilian,Non-Firefighting - Volunteer,Station Name,Station PO Box,Station Addr1,Station Addr2,Station City,Station State,Station Zip
"53007","Abeytas Volunteer Fire Department","387 Highway 116","PO Box 518","Bosque","VALENCIA                 ","NM","87006","","","PO Box 518","Bosque","NM","87006-0518","","2","Volunteer","Local (includes career, combination, and volunteer)","0","21","0","0","5","Sabinal Station","","751 Highway 116","","Bosque","NM","87006"
"01001","Acadia/Evangeline Fire Protection District","3213 Railroad AVE","","Basile","ACADIA                   ","LA","70515","","","PO Box 158","Basile","LA","70515-0158","","1","Mostly Volunteer","Local (includes career, combination, and volunteer)","1","17","1","1","0","Tepetate Station","","Redich RD","","Basile","LA","70515"
"20001","Acadia/Evangeline Fire Protection District","3213 Railroad ST","","Basile","EVANGELINE               ","LA","70515","","","PO Box 158","Basile","LA","70515-0158","","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","1","42","1","1","0","Emery Station","","Old Basile HWY","","Basile","LA","70515"
"20001","Acadia/Evangeline Fire Protection District","3213 Railroad ST","","Basile","EVANGELINE               ","LA","70515","","","PO Box 158","Basile","LA","70515-0158","","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","1","42","1","1","0","Duralde Station","","George Soileau RD","","Basile","LA","70515"
"10001","Ackerman Volunteer Fire Department","81 E Main ST","PO Box 394","Ackerman","CHOCTAW                  ","MS","39735-0394","","","PO Box 394","Ackerman","MS","39735-0394","","2","Volunteer","Local (includes career, combination, and volunteer)","0","20","0","0","20","Ackerman Volunteer Fire Department 2","","303 N Commerce ST","","Ackerman","MS","39735-9495"
"02401","Acme-Delco-Riegelwood Fire-Rescue, Inc","100 John Riegel RD","PO Box 187","Riegelwood","COLUMBUS                 ","NC","28456-0187","100 John Riegel RD","","PO Box 187","Riegelwood","NC","28456-0187","","2","Volunteer","Local (includes career, combination, and volunteer)","0","30","0","0","9","Acme-Delco-Riegelwood Fire-Rescue, Inc. Station 2","","4362 Livingston-Chapel RD","","Delco","NC","28436"
"04101","Ada Township Fire Department","6990 E Fulton ST","","Ada","KENT                     ","MI","49301","","","PO Box 370","Ada","MI","49301-0370","https://adamichigan.org/township","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","2","0","22","0","0","Station 2","","7211 Knapp ST NE","","Ada","MI","49301"
"00001","Adair Rural Fire Protection District","6021 NE Marcus Harris AVE","","Adair Village","BENTON                   ","OR","97330-9490","6021 NE Marcus Harris AVE","","","Corvallis","OR","97330-9490","https://www.adair-rural-fire.com/","2","Volunteer","Local (includes career, combination, and volunteer)","0","17","0","0","6","Soap Creek Substation -1402","","37096 Soap Creek RD","","Corvallis","OR","97330"
"51001","Addison Volunteer Fire Department","1 Tuscarora ST","","Addison","STEUBEN                  ","NY","14801","1 Tuscarora ST","","","Addison","NY","14801-1231","","2","Volunteer","Local (includes career, combination, and volunteer)","0","26","0","0","1","Addison Station 2","","9 Crane ST","","Addison","NY","14801"
"03706","Adel Fire Department","730 S Elm ST","","Adel","COOK                     ","GA","31620","","","PO Box 1530","Adel","GA","31620-1071","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","16","0","20","0","0","Station No. 1","","E 3RD ST","","Adel","GA","31620"
"13192","Adelphia Fire Company","925 Adelphia RD","PO Box 125","Adelphia","MONMOUTH                 ","NJ","07710-0125","925 Adelphia RD","","PO Box 125","Adelphia","NJ","07710-0125","https://www.adelphiafire.com/","2","Volunteer","Local (includes career, combination, and volunteer)","0","53","0","0","0","Station #2","","993 HWY 33","","Freehold","NJ","07728"
"34003","Aerojet Fire Services","HWY 50 and Hazel AVE","PO Box 13222","Sacramento","SACRAMENTO               ","CA","95813-6000","HWY 50 and Hazel AVE","","PO Box 13222","Sacramento","CA","95813-6000","","1","Career","Private or industrial fire  brigade","15","0","0","0","16","Aerojet Fire Services","","Hwy. 50 & Hazel Ave. None","Bldg 02-028 Dept 5620 Highway 50 and Hazel Avenue","Rancho Cordova","CA","95670"
"09539","Affton Fire Protection District","9282 Gravois RD","","Saint Louis","SAINT LOUIS              ","MO","63123","9282 Gravois RD","","","Saint Louis","MO","63123-4526","https://www.afftonfire.com/","3","Mostly Career","Local (includes career, combination, and volunteer)","33","30","0","1","0","Affton Station 2","","8110 Valcour AVE","","Saint Louis","MO","63123-2341"
"09539","Affton Fire Protection District","9282 Gravois RD","","Saint Louis","SAINT LOUIS              ","MO","63123","9282 Gravois RD","","","Saint Louis","MO","63123-4526","https://www.afftonfire.com/","3","Mostly Career","Local (includes career, combination, and volunteer)","33","30","0","1","0","Affton Station 3","","4990 Seibert AVE","","Saint Louis","MO","63123-4738"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 5","","2460 E Market ST","","Akron","OH","44312"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 12","","1852 W Market ST","","Akron","OH","44313"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 9","","98 Dodge AVE","","Akron","OH","44302"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 7","","541 E Tallmadge AVE","","Akron","OH","44310"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 8","","1277 E Archwood AVE","","Akron","OH","44306"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 11","","1685 Akron Peninsula RD","","Akron","OH","44313"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 13","","1544 Brown ST","","Akron","OH","44301"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 14","","766 Brittain RD","","Akron","OH","44305"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 6","","1685 S Hawkins AVE","","Akron","OH","44320"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 3","","59 S Maple ST","","Akron","OH","44303"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 10","","2225 4th ST SW","","Akron","OH","44314"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 2","","952 E Exchange ST","","Akron","OH","44306"
"77001","Akron Fire Department","146 S High ST","10th Fl","Akron","SUMMIT                   ","OH","44308-1435","146 S HIGH ST","10th Fl","","AKRON","OH","44308-1435","https://www.akronohio.gov/cms/akronfiredepartment/index.html","13","Career","Local (includes career, combination, and volunteer)","392","0","0","28","0","Akron Fire Department Station 4","","25 E Thornton ST","","Akron","OH","44311"
"53003","Alamo Rural Fire Protection District","13257 75TH ST","PO Box 36","Alamo","WILLIAMS                 ","ND","58830-9574","","","PO Box 36","Alamo","ND","58830-0036","","2","Volunteer","Local (includes career, combination, and volunteer)","0","31","0","0","14","Blacktail Fire Department","","Blacktail Dam","","Williston","ND","58801"
"00305","Alamosa Fire Department","425 4TH ST","","Alamosa","ALAMOSA                  ","CO","81101","","","PO Box 419","Alamosa","CO","81101-0419","","2","Volunteer","Local (includes career, combination, and volunteer)","0","0","30","0","0","Station Two","","2725 Vigil WAY","","Alamosa","CO","81101"
"00004","Albany Fire Department Station","333 Broadalbin ST SW","PO Box 490","Albany","LINN                     ","OR","97321-0490","333 Broadalbin ST SW","","PO Box 490","Albany","OR","97321-0490","https://ci.albany.or.us","4","Career","Local (includes career, combination, and volunteer)","68","0","0","11","0","Albany Fire Department Station 11","","110 6th AVE SW","","Albany","OR","97321"
"00004","Albany Fire Department Station","333 Broadalbin ST SW","PO Box 490","Albany","LINN                     ","OR","97321-0490","333 Broadalbin ST SW","","PO Box 490","Albany","OR","97321-0490","https://ci.albany.or.us","4","Career","Local (includes career, combination, and volunteer)","68","0","0","11","0","Albany Fire Department Station 12","","120 34th AVE SE","","Albany","OR","97322-3824"
"00004","Albany Fire Department Station","333 Broadalbin ST SW","PO Box 490","Albany","LINN                     ","OR","97321-0490","333 Broadalbin ST SW","","PO Box 490","Albany","OR","97321-0490","https://ci.albany.or.us","4","Career","Local (includes career, combination, and volunteer)","68","0","0","11","0","Albany Fire Department Station 13","","1980 Three Lakes RD SE","","Albany","OR","97322"
"00004","Albany Fire Department Station","333 Broadalbin ST SW","PO Box 490","Albany","LINN                     ","OR","97321-0490","333 Broadalbin ST SW","","PO Box 490","Albany","OR","97321-0490","https://ci.albany.or.us","4","Career","Local (includes career, combination, and volunteer)","68","0","0","11","0","Albany Fire Department Station 14","","2850 Gibson Hill RD NW","","Albany","OR","97321-1150"
"30001","Albertson Fire Company","100 I.U. Willets RD","","Albertson","NASSAU                   ","NY","11507-1412","100 I.U. Willets RD","","","Albertson","NY","11507-1412","https://www.albertsonfire.org/","2","Volunteer","Local (includes career, combination, and volunteer)","0","62","0","2","0","Station 2","","Dewey AVE","","Albertson","NY","11507"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #27","","10005 Unser NW","","Albuquerque","NM","87114"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #11","","5403 Southern SE","","Albuquerque","NM","87108"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #17","","3630 Yucca NW","","Albuquerque","NM","87120"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #16","","4727 Juan Tabo NE","","Albuquerque","NM","87111"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #9","","9601 Menaul NE","","Albuquerque","NM","87111"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #19","","3520 San Andres NE","","Albuquerque","NM","87107"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #5","","123 Dallas ST NE","","Albuquerque","NM","87108"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #3","","141 Girard NE","","Albuquerque","NM","87106"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #1","","724 Silver SW","","Albuquerque","NM","87102"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #14","","9810 Eucariz SW","","Albuquerque","NM","87121"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #13","","4901 Prospect NE","","Albuquerque","NM","87110"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #10","","2841 Rio Grande NW","","Albuquerque","NM","87107"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #7","","5715 Central NW","","Albuquerque","NM","87105"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #18","","6100 Taylor Ranch NW","","Albuquerque","NM","87120"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #21","","10400 Cibola Loop NW","","Albu","NM","87114"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #15","","6600 Academy NE","","Albuquerque","NM","87109"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #2","","2401 Alumni DR SE","","Albuquerque","NM","87106"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #4","","301 McKnight NW","","Albuquerque","NM","87102"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #6","","623 Griegos NW","","Albuquerque","NM","87107"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #20","","7520 Corona NE","","Albuquerque","NM","87122"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #12","","201 Muriel NE","","Albuquerque","NM","87123"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #14","","9810 Eucariz SW","","Albuquerque","NM","87121"
"01007","Albuquerque Fire Department","11500 Sunset Gardens SW","","Albuquerque","BERNALILLO               ","NM","87121-7758","11500 Sunset Gardens SW","","","Albuquerque","NM","87121-7758","https://www.cabq.gov/fire","22","Career","Local (includes career, combination, and volunteer)","650","0","0","20","0","Fire Station #8","","1400 Indian View PL NE","","Albuquerque","NM","87112"
"KA501","Aldine Fire & Rescue","1009 Aldine Bender RD","","Houston","HARRIS                   ","TX","77032","1009 Aldine Bender RD","","","Houston","TX","77032","https://www.aldinefire.com/","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","15","0","26","1","0","Station 21","","1403 E Richey","","Houston","TX","77073"
"NN601","Alice Fire Department","601 E 3RD ST","","Alice","JIM WELLS                ","TX","78332","","","PO Box 3229","Alice","TX","78333-3229","","2","Career","Local (includes career, combination, and volunteer)","35","0","0","0","0","Alice Southside Fire Station","","PO Box 3229","","Alice","TX","78333"
"00301","Allegan Fire District","300 Monroe ST","","Allegan","ALLEGAN                  ","MI","49010-1219","300 Monroe ST","","","Allegan","MI","49010-1219","","2","Mostly Volunteer","Local (includes career, combination, and volunteer)","1","0","22","0","0","Allegan Fire District Station #2","","3037 118TH AVE","","Allegan","MI","49010-9555"
"01303","Allenspark Fire Protection District","14861 State Highway 7","","Allenspark","BOULDER                  ","CO","80510","","","PO Box 153","Allenspark","CO","80510-0153","https://www.allensparkfire.com/","5","Volunteer","Local (includes career, combination, and volunteer)","0","28","0","2","1","Meeker Station","","11500 State Highway 7","","Allenspark","CO","80510"
"01303","Allenspark Fire Protection District","14861 State Highway 7","","Allenspark","BOULDER                  ","CO","80510","","","PO Box 153","Allenspark","CO","80510-0153","https://www.allensparkfire.com/","5","Volunteer","Local (includes career, combination, and volunteer)","0","28","0","2","1","Maculagh Station","","100 Bunce Scholl RD","","Allenspark","CO","80510"
"01303","Allenspark Fire Protection District","14861 State Highway 7","","Allenspark","BOULDER                  ","CO","80510","","","PO Box 153","Allenspark","CO","80510-0153","https://www.allensparkfire.com/","5","Volunteer","Local (includes career, combination, and volunteer)","0","28","0","2","1","Raymond-Riverside","","2200 Riverside DR","","Allenspark","CO","80510"
"01303","Allenspark Fire Protection District","14861 State Highway 7","","Allenspark","BOULDER                  ","CO","80510","","","PO Box 153","Allenspark","CO","80510-0153","https://www.allensparkfire.com/","5","Volunteer","Local (includes career, combination, and volunteer)","0","28","0","2","1","Covenant Station","","7400 State Highway 7","","Allenspark","CO","80510"
"16032","Allentown Road Volunteer Fire Department (Prince Georges County Fire Department)","8709 Allentown RD","","Fort Washington","PRINCE GEORGES           ","MD","20744","8709 Allentown RD","","","Fort Washington","MD","20744","https://www.allentownroad.com","2","Mostly Career","Local (includes career, combination, and volunteer)","43","25","0","0","7","Silesia Volunteer Fire Department","","10900 Fort Washington RD","","Fort Washington","MD","20744"
"03601","Alpha-Mastodon Township Fire Department","1372 US Highway 2","","Crystal Falls","IRON                     ","MI","49920","1371 US Highway 2","","","Crystal Falls","MI","49920","https://www.mastodontownship.com/alphamastodonfiredept.htm","2","Volunteer","Local (includes career, combination, and volunteer)","0","0","21","0","0","Camp 5 Fire Hall","","1533 Camp 5 Road","","Crystal Falls","MI","49920"
"31111","Altamont Volunteer Fire Department","143 Academy ST","","Altamont","GRUNDY                   ","TN","37301","","","PO Box 200","Altamont","TN","37301-0200","","3","Volunteer","Local (includes career, combination, and volunteer)","0","18","0","0","0","Gap Road Station","","Gap RD","","Altamont","TN","37301"
"31111","Altamont Volunteer Fire Department","143 Academy ST","","Altamont","GRUNDY                   ","TN","37301","","","PO Box 200","Altamont","TN","37301-0200","","3","Volunteer","Local (includes career, combination, and volunteer)","0","18","0","0","0","Northcutts Cove Station","","Northcutts Cove RD","","Altamont","TN","37301"
"22101","Alum Creek Volunteer Fire Department, Inc.","2103 Childress Rd.","","Alum Creek","LINCOLN                  ","WV","25003","","","PO Box 748","Alum Creek","WV","25003-0748","https://www.acvfd.org/","3","Volunteer","Local (includes career, combination, and volunteer)","0","25","0","0","6","Sand Plant Sub-Station","","17 John Fouts DR","","Alum Creek","WV","25003"
"22101","Alum Creek Volunteer Fire Department, Inc.","2103 Childress Rd.","","Alum Creek","LINCOLN                  ","WV","25003","","","PO Box 748","Alum Creek","WV","25003-0748","https://www.acvfd.org/","3","Volunteer","Local (includes career, combination, and volunteer)","0","25","0","0","6","Sod Sub-Station","","1717 Midway RD","","Sod","WV","25003"
"BB501","Alvin Volunteer Fire Department","302 W House ST","","Alvin","BRAZORIA                 ","TX","77511-2815","302 W House ST","","","Alvin","TX","77511-2815","","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","1","65","0","4","2","Alvin Station #2","","110 Medic Lane","","Alvin","TX","77511"
"BB501","Alvin Volunteer Fire Department","302 W House ST","","Alvin","BRAZORIA                 ","TX","77511-2815","302 W House ST","","","Alvin","TX","77511-2815","","3","Mostly Volunteer","Local (includes career, combination, and volunteer)","1","65","0","4","2","Alvin Station #3","","2700 FM 1462","","Alvin","TX","77511"
